1014	0	1775	0	0
477	2	531	1	3
1165	1	1580	0	0
966	1	1535	0	0
1289	0	100	0	0
410	0	1436	0	0
1682	0	1909	0	0
211	2	180	1	3
375	1	1728	0	0
531	1	1668	0	0
1069	1	1916	0	0
237	0	1408	0	0
300	1	1676	0	0
684	0	1355	1	4
509	1	1817	0	0
100	1	1523	0	0
1401	0	1355	1	4
1312	0	1355	1	4
296	0	1049	0	0
1705	0	1925	0	0
38	1	1544	0	0
467	2	315	0	0
189	2	1650	0	0
553	0	1355	1	4
493	1	1619	0	0
518	1	1742	0	0
206	1	1698	0	0
754	2	605	0	0
364	2	1507	0	0
1366	2	1610	0	0
370	2	1638	0	0
1326	0	720	0	0
1747	0	1076	0	0
190	2	605	0	0
140	2	1646	0	0
958	1	1503	0	0
336	2	1547	0	0
477	0	1355	1	4
928	1	1584	0	0
456	2	315	0	0
1875	0	699	0	0
1888	0	819	0	0
1458	1	1580	0	0
1234	0	1355	1	4
1495	0	1355	1	4
172	2	1355	0	0
967	1	1828	0	0
858	0	149	0	0
1485	2	1503	0	0
2013	0	1058	0	0
1078	1	1563	0	0
611	1	1835	0	0
2046	0	1373	0	0
1239	0	905	0	0
42	1	1526	0	0
958	1	1819	0	0
375	1	1612	0	0
530	1	1583	0	0
138	2	1503	0	0
711	0	877	0	0
2	2	1503	0	0
1299	1	2033	0	0
441	0	792	0	0
1992	0	502	0	0
1306	1	1558	0	0
900	2	959	1	3
48	1	1549	0	0
894	0	1010	0	0
138	2	149	1	3
474	2	1355	0	0
1488	2	1355	0	0
853	0	257	0	0
961	0	488	0	0
1082	1	1944	0	0
583	1	1697	0	0
283	0	1355	1	2
1305	0	1287	0	0
1089	2	556	1	3
1322	0	1597	0	0
627	0	439	0	0
338	2	1738	0	0
481	2	1355	0	0
322	0	1355	1	4
1450	0	1825	0	0
600	1	1584	0	0
971	1	1533	0	0
610	0	1323	0	0
49	2	1547	0	0
1047	1	1970	0	0
886	1	1564	0	0
618	1	1534	0	0
112	0	1856	0	0
900	1	1637	0	0
208	2	1638	0	0
261	1	1671	0	0
804	0	137	0	0
1370	2	39	0	0
167	2	1512	0	0
333	1	1637	0	0
1309	0	1467	0	0
440	1	1784	0	0
168	0	283	0	0
529	1	1832	0	0
1407	2	374	0	0
1977	0	2052	0	0
138	1	1516	0	0
1198	0	238	0	0
682	0	1884	0	0
884	0	8	0	0
1	0	1478	0	0
