node_id,old_index
229,4452
230,4761
231,194
232,2513
233,4474
234,1281
235,3980
236,198
237,3651
238,677
239,2164
240,1123
241,4449
242,4853
243,4451
244,4530
245,4447
246,829
247,902
248,836
249,4430
250,1967
251,1256
252,361
253,1260
254,749
255,630
256,582
257,4707
258,5262
259,4454
260,810
261,337
262,1764
263,5233
264,706
265,1489
266,1234
267,423
268,2124
269,956
270,3992
271,4450
272,994
273,1937
274,4042
275,4468
276,1200
277,92
278,5038
279,2257
280,4421
281,4439
282,1085
283,531
284,4829
285,2459
286,1511
287,3369
288,326
289,3
290,7
291,4888
292,464
293,2740
294,643
295,5562
296,4479
297,3246
298,5355
299,67
300,551
301,171
302,4475
303,1899
304,1208
305,5075
306,2856
307,3652
308,668
309,3541
310,1491
311,5368
312,5563
313,913
314,821
315,2642
316,592
317,1387
318,4775
319,637
320,4499
321,4999
322,4536
323,1244
324,2831
325,5137
326,1042
327,586
328,1294
329,687
330,339
331,1084
332,903
333,1214
334,1946
335,4515
336,711
337,1631
338,509
339,1808
340,611
341,242
342,2733
343,2132
344,4281
345,252
346,123
347,4998
348,4512
349,5178
350,2365
351,1553
352,1732
353,1190
354,2207
355,740
356,4818
357,3851
358,308
359,831
360,2152
361,722
362,871
363,179
364,1826
365,1975
366,2121
367,1315
368,384
369,2279
370,1667
371,2886
372,4516
373,4790
374,4942
375,1144
376,4843
377,4487
378,4501
379,4507
380,1828
381,4541
382,5232
383,4483
384,3031
385,3537
386,4916
387,4493
388,4484
389,1677
390,4488
391,2599
392,2704
393,4486
394,4540
395,987
396,263
397,1023
398,57
399,806
400,644
401,456
402,2584
403,4529
404,834
405,595
406,2177
407,785
408,790
409,536
410,895
411,603
412,278
413,5128
414,247
415,2669
416,251
417,4905
418,5499
419,5537
420,817
421,908
422,2965
423,614
424,4102
425,402
426,5336
427,1115
428,2373
429,381
430,4825
431,203
432,1241
433,2088
434,3798
435,1621
436,5149
437,1119
438,2939
439,199
440,1107
441,4519
442,5422
443,5450
444,4575
445,85
446,3079
447,4551
448,4591
449,5309
450,5376
451,1235
452,1277
453,4933
454,846
455,2158
456,681
457,311
458,3637
459,1114
460,60
461,4718
462,3192
463,4984
464,4901
465,61
466,646
467,4721
468,1675
469,674
470,86
471,3525
472,1193
473,478
474,610
475,5425
476,5348
477,929
478,948
479,552
480,2835
481,1452
482,661
483,547
484,649
485,345
486,747
487,366
488,134
489,159
490,4040
491,262
492,3993
493,1952
494,1953
495,583
496,4579
497,2910
498,881
499,5067
500,4548
501,1636
502,4577
503,707
504,4898
505,1693
506,215
507,958
508,4569
509,559
510,4571
511,791
512,1874
513,1879
514,1279
515,3404
516,2273
517,5520
518,1659
519,4725
520,848
521,963
522,2544
523,849
524,1872
525,2194
526,1857
527,4594
528,463
529,3806
530,655
531,3996
532,5088
533,5119
534,3131
535,3172
536,4546
537,4802
538,3473
539,4590
540,4598
541,2098
542,5408
543,5290
544,2558
545,2709
546,2787
547,5492
548,4587
549,4592
550,1823
551,4555
552,5109
553,1742
554,4593
555,4759
556,306
557,5065
558,4609
559,4545
560,4791
561,253
562,327
563,1230
564,26
565,5253
566,271
567,1851
568,1538
569,471
570,5459
571,4556
572,828
573,276
574,4557
575,5535
576,4787
577,2571
578,83
579,1192
580,219
581,525
582,768
583,596
584,874
585,4602
586,4444
587,2110
588,2493
589,432
590,246
591,487
592,980
593,4583
594,651
595,1780
596,3493
597,4576
598,2182
599,236
600,647
601,3861
602,493
603,1463
604,4589
605,998
606,1655
607,1299
608,4662
609,328
610,1447
611,736
612,727
613,106
614,639
615,1479
616,2363
617,642
618,652
619,2852
620,201
621,1670
622,4770
623,4806
