node_id,old_index
979,501.0
980,25908.0
981,6531.0
982,6734.0
983,4872.0
984,8753.0
985,1665.0
986,10470.0
987,5296.0
988,16551.0
989,22335.0
990,24771.0
991,112.0
992,4876.0
993,8365.0
994,22306.0
995,12295.0
996,7754.0
997,23989.0
998,8322.0
999,3420.0
1000,22647.0
1001,6488.0
1002,379.0
1003,25057.0
1004,24978.0
1005,11944.0
1006,7715.0
1007,3278.0
1008,110.0
1009,10449.0
1010,22359.0
1011,26523.0
1012,3265.0
1013,3405.0
1014,823.0
1015,10452.0
1016,3266.0
1017,24120.0
1018,10501.0
1019,11636.0
1020,10463.0
1021,814.0
1022,24332.0
1023,4868.0
1024,200.0
1025,23489.0
1026,7032.0
1027,3308.0
1028,12125.0
1029,23858.0
1030,3289.0
1031,669.0
1032,705.0
1033,1666.0
1034,3383.0
1035,1359.0
1036,20099.0
1037,7940.0
1038,22449.0
1039,17199.0
1040,24421.0
1041,5009.0
1042,6570.0
1043,5584.0
1044,10644.0
1045,14872.0
1046,17133.0
1047,14887.0
1048,611.0
1049,4899.0
1050,891.0
1051,21968.0
1052,1349.0
1053,4884.0
1054,5293.0
1055,171.0
1056,16938.0
1057,10478.0
1058,763.0
1059,3168.0
1060,7513.0
1061,6563.0
1062,5262.0
1063,12411.0
1064,1436.0
1065,537.0
1066,26175.0
1067,10490.0
1068,12455.0
1069,3093.0
1070,217.0
1071,852.0
1072,4772.0
1073,13136.0
1074,3314.0
1075,22636.0
1076,11969.0
1077,20114.0
1078,5877.0
1079,12006.0
1080,6743.0
1081,4780.0
1082,1157.0
1083,4864.0
1084,8724.0
1085,3387.0
1086,24374.0
1087,824.0
1088,892.0
1089,126.0
1090,8380.0
1091,19010.0
1092,26304.0
1093,772.0
1094,538.0
1095,8853.0
1096,23004.0
1097,871.0
1098,3508.0
1099,23597.0
1100,502.0
1101,22921.0
1102,14948.0
1103,677.0
1104,6704.0
1105,12122.0
1106,24406.0
1107,165.0
1108,420.0
1109,3457.0
1110,22329.0
1111,12064.0
1112,6966.0
1113,3453.0
1114,5881.0
1115,12151.0
1116,8829.0
1117,10590.0
1118,12421.0
1119,605.0
1120,7133.0
1121,7729.0
1122,24249.0
1123,17146.0
1124,8894.0
1125,3595.0
1126,3742.0
1127,3647.0
1128,81.0
1129,13857.0
1130,3681.0
1131,10770.0
1132,10794.0
1133,7730.0
1134,26612.0
1135,17122.0
1136,1150.0
1137,14986.0
1138,14989.0
1139,10777.0
1140,5525.0
1141,4776.0
1142,10745.0
1143,3660.0
1144,15318.0
1145,13526.0
1146,24861.0
1147,5036.0
1148,23790.0
1149,13453.0
1150,25910.0
1151,3775.0
1152,23959.0
1153,877.0
1154,13636.0
1155,24236.0
1156,14937.0
1157,3869.0
1158,6688.0
1159,109.0
1160,23059.0
1161,3896.0
1162,4939.0
1163,8536.0
1164,15789.0
1165,842.0
1166,3519.0
1167,10627.0
1168,223.0
1169,10687.0
1170,7576.0
1171,5805.0
1172,3586.0
1173,990.0
1174,23953.0
1175,5656.0
1176,275.0
1177,24852.0
1178,22994.0
1179,10671.0
1180,5028.0
1181,19037.0
1182,547.0
1183,22525.0
1184,3460.0
1185,5524.0
1186,23211.0
1187,344.0
1188,442.0
1189,3431.0
1190,10688.0
1191,579.0
1192,12119.0
1193,1369.0
1194,10673.0
1195,919.0
1196,17087.0
1197,973.0
1198,13531.0
1199,3432.0
1200,4361.0
1201,3629.0
1202,22336.0
1203,6007.0
1204,4947.0
1205,6491.0
1206,10779.0
1207,25124.0
1208,20190.0
1209,17801.0
1210,26156.0
1211,24385.0
1212,3740.0
1213,26597.0
1214,22416.0
1215,24679.0
1216,22301.0
1217,14987.0
1218,14873.0
1219,3801.0
1220,4986.0
1221,14893.0
1222,1531.0
1223,3765.0
1224,24709.0
1225,25451.0
1226,548.0
1227,25617.0
1228,26217.0
1229,25824.0
1230,10910.0
1231,5570.0
1232,18905.0
1233,20289.0
1234,6794.0
1235,10908.0
1236,4928.0
1237,4964.0
1238,9090.0
1239,23355.0
1240,5195.0
1241,3843.0
1242,5179.0
1243,6150.0
1244,5733.0
1245,8988.0
1246,5953.0
1247,22818.0
1248,15827.0
1249,3850.0
1250,5352.0
1251,12066.0
1252,363.0
1253,11108.0
1254,130.0
1255,4.0
1256,15247.0
1257,4048.0
1258,552.0
1259,7197.0
1260,3914.0
1261,11049.0
1262,17264.0
1263,17364.0
1264,485.0
1265,63.0
1266,560.0
1267,13603.0
1268,3964.0
1269,4045.0
1270,706.0
1271,10990.0
1272,3974.0
1273,91.0
1274,16354.0
1275,17839.0
1276,1681.0
1277,6756.0
1278,20333.0
1279,13708.0
1280,18534.0
1281,18935.0
1282,7844.0
1283,6013.0
1284,7759.0
1285,25103.0
1286,24309.0
1287,8251.0
1288,5571.0
1289,270.0
1290,24298.0
1291,11502.0
1292,1631.0
1293,26464.0
1294,15039.0
1295,3926.0
1296,747.0
1297,6090.0
1298,6130.0
1299,166.0
1300,434.0
1301,6049.0
1302,5625.0
1303,6640.0
1304,9079.0
1305,3938.0
1306,4038.0
1307,6890.0
1308,26463.0
1309,651.0
1310,26347.0
1311,13808.0
1312,7954.0
1313,6689.0
1314,6625.0
1315,295.0
1316,24804.0
1317,11619.0
1318,13655.0
1319,4021.0
1320,10938.0
1321,6679.0
1322,1074.0
1323,3884.0
1324,10783.0
1325,3773.0
1326,3808.0
1327,10916.0
1328,15019.0
1329,17325.0
1330,25687.0
1331,15137.0
1332,3813.0
1333,11071.0
1334,5898.0
1335,1570.0
1336,8984.0
1337,8497.0
1338,22323.0
1339,11080.0
1340,25018.0
1341,5154.0
1342,9076.0
1343,554.0
1344,5544.0
1345,22314.0
1346,6118.0
1347,1622.0
1348,23107.0
1349,5064.0
1350,863.0
1351,938.0
1352,1503.0
1353,23875.0
1354,1581.0
1355,6638.0
1356,426.0
1357,25400.0
1358,25078.0
1359,11189.0
1360,11248.0
1361,23171.0
1362,5551.0
1363,365.0
1364,5900.0
1365,25315.0
1366,5.0
1367,7634.0
1368,4089.0
1369,803.0
1370,6906.0
1371,915.0
1372,149.0
1373,26598.0
1374,5103.0
1375,4078.0
1376,17505.0
1377,13793.0
1378,644.0
1379,5150.0
1380,26061.0
1381,22750.0
1382,5617.0
1383,4173.0
1384,6691.0
1385,18817.0
1386,5060.0
1387,17552.0
1388,929.0
1389,921.0
1390,314.0
1391,298.0
1392,4216.0
1393,13819.0
1394,4290.0
1395,9172.0
1396,14931.0
1397,22348.0
1398,25265.0
1399,4264.0
1400,479.0
1401,120.0
1402,4310.0
1403,682.0
1404,4231.0
